attendance,away_team,game_type,home_team,venue,day_of_week,sky,total_runs,game_hours_dec,season,home_team_outcome
27508,St. Louis Cardinals,Day Game,Houston Astros,Minute Maid Park,Wednesday,In Dome,10,2.983333333,regular,Loss
28790,Kansas City Royals,Night Game,Detroit Tigers,Comerica Park,Wednesday,Overcast,5,2.783333333,regular,Loss
25308,Washington Nationals,Day Game,Colorado Rockies,Coors Field,Wednesday,Sunny,22,3.866666667,regular,Win
14371,Chicago White Sox,Night Game,Cleveland Indians,Progressive Field,Wednesday,Cloudy,17,3.5,regular,Loss
13973,Miami Marlins,Night Game,Cincinnati Reds,Great American Ball Park,Wednesday,Overcast,5,3.116666667,regular,Win
40310,Milwaukee Brewers,Night Game,Chicago Cubs,Wrigley Field,Wednesday,Cloudy,7,2.833333333,regular,Win
26160,Boston Red Sox,Night Game,Baltimore Orioles,Oriole Park at Camden Yard,Wednesday,Unknown,9,2.2,regular,Loss
19304,Minnesota Twins,Night Game,Atlanta Braves,Turner Field,Wednesday,Cloudy,13,3.4,regular,Loss
18469,New York Mets,Night Game,Arizona Diamondbacks,Chase Field,Wednesday,In Dome,18,2.883333333,regular,Win
36950,Seattle Mariners,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Wednesday,Sunny,7,3.616666667,regular,Loss
21877,Oakland Athletics,Night Game,Texas Rangers,Globe Life Park in Arlington,Tuesday,Overcast,9,3.666666667,regular,Win
10793,San Diego Padres,Night Game,Tampa Bay Rays,Tropicana Field,Tuesday,In Dome,16,3.3,regular,Win
41185,Pittsburgh Pirates,Night Game,San Francisco Giants,AT&T Park,Tuesday,Sunny,7,3.2,regular,Loss
28118,Los Angeles Dodgers,Night Game,Philadelphia Phillies,Citizens Bank Park,Tuesday,Unknown,20,3.5,regular,Loss
31874,Toronto Blue Jays,Night Game,New York Yankees,Yankee Stadium III,Tuesday,Cloudy,18,3.15,regular,Loss
30438,St. Louis Cardinals,Night Game,Houston Astros,Minute Maid Park,Tuesday,In Dome,13,3.1,regular,Loss
28663,Kansas City Royals,Night Game,Detroit Tigers,Comerica Park,Tuesday,Cloudy,7,2.716666667,regular,Loss
29209,Washington Nationals,Night Game,Colorado Rockies,Coors Field,Tuesday,Unknown,8,2.9,regular,Win
13857,Chicago White Sox,Night Game,Cleveland Indians,Progressive Field,Tuesday,Overcast,4,3.133333333,regular,Win
14440,Miami Marlins,Night Game,Cincinnati Reds,Great American Ball Park,Tuesday,Overcast,9,2.566666667,regular,Win
39420,Milwaukee Brewers,Night Game,Chicago Cubs,Wrigley Field,Tuesday,Sunny,5,3.35,regular,Win
41148,Milwaukee Brewers,Day Game,Chicago Cubs,Wrigley Field,Tuesday,Cloudy,4,3.2,regular,Win
26014,Boston Red Sox,Night Game,Baltimore Orioles,Oriole Park at Camden Yards,Tuesday,Cloudy,8,3.083333333,regular,Loss
17611,Minnesota Twins,Night Game,Atlanta Braves,Turner Field,Tuesday,Overcast,6,3.466666667,regular,Loss
20790,New York Mets,Night Game,Arizona Diamondbacks,Chase Field,Tuesday,In Dome,12,3.4,regular,Loss
37546,Seattle Mariners,Night Game,Los Angeles Angels of Anaheim,Angel Stadium of Anaheim,Tuesday,Sunny,13,3.05,regular,Win
22845,Oakland Athletics,Night Game,Texas Rangers,Globe Life Park in Arlington,Monday,Unknown,7,2.7,regular,Win
